,T,Sigma,r
272,12162467.927556764,872.01853194688545,2.2281277591147446
273,12554754.883529281,896.03780401881068,2.2281277591147446
274,12947041.839501800,917.91462129886747,2.2281277591147446
275,13339328.795474319,937.37863132652410,2.2281277591147446
276,13731615.751446836,954.13062779259417,2.2281277591147446
277,14123902.707419354,967.83647292541127,2.2281277591147446
278,14516189.663391873,978.11919181435110,2.2281277591147446
279,14908476.619364390,984.54849149852350,2.2281277591147446
280,15300763.575336909,986.62656243769936,2.2281277591147446
281,15693050.531309428,983.76835918071788,2.2281277591147446
282,16085337.487281943,975.27340675786058,2.2281277591147446
283,16477624.443254462,960.28407996995838,2.2281277591147446
284,16869911.399226978,937.72124893921205,2.2281277591147446
285,17654485.311172016,863.74766428395424,2.2281277591147446
286,18439059.223117054,733.59762424616906,2.2281277591147446
287,18831346.179089569,633.81267073520212,2.2281277591147446
288,786146.20435374288,12.269768649892452,2.3108072510390558
289,1178433.1603262606,27.480331171341756,2.3108072510390558
290,1570720.1162987782,46.668135165921825,2.3108072510390558
291,1963007.0722712961,68.686808397239176,2.3108072510390558
292,2355294.0282438137,92.904347691149113,2.3108072510390558
293,2747580.9842163310,118.96354865857370,2.3108072510390558
294,3139867.9401888489,146.63238063717654,2.3108072510390558
295,3532154.8961613667,175.73467326892700,2.3108072510390558
296,3924441.8521338841,206.12034540544209,2.3108072510390558
297,4316728.8081064010,237.65238062468566,2.3108072510390558
298,4709015.7640789198,270.20070443604391,2.3108072510390558
299,5101302.7200514376,303.63897562393663,2.3108072510390558
300,5493589.6760239555,337.84266984914007,2.3108072510390558
301,5885876.6319964742,372.68777197726433,2.3108072510390558
302,6278163.5879689921,408.04977280562127,2.3108072510390558
303,6670450.5439415099,443.80282444571600,2.3108072510390558
304,7062737.4999140287,479.81897767156437,2.3108072510390558
305,7455024.4558865465,515.96745580919799,2.3108072510390558
306,7847311.4118590644,552.11393426159680,2.3108072510390558
307,8239598.3678315822,588.11980137050830,2.3108072510390558
308,8631885.3238041010,623.84137882168795,2.3108072510390558
309,9024172.2797766197,659.12907985353206,2.3108072510390558
310,9416459.2357491367,693.82648179601551,2.3108072510390558
311,9808746.1917216554,727.76928611371034,2.3108072510390558
312,10201033.147694174,760.78413401409989,2.3108072510390558
313,10593320.103666691,792.68723842056886,2.3108072510390558
314,10985607.059639210,823.28278303515060,2.3108072510390558
315,11377894.015611727,852.36102530504525,2.3108072510390558
316,11770180.971584246,879.69602081064863,2.3108072510390558
317,12162467.927556764,905.04285956240142,2.3108072510390558
318,12554754.883529281,928.13426631833249,2.3108072510390558
319,12947041.839501800,948.67636166006787,2.3108072510390558
320,13339328.795474319,966.34329914249611,2.3108072510390558
321,13731615.751446836,980.77037150657065,2.3108072510390558
322,14123902.707419354,991.54499062860407,2.3108072510390558
323,14516189.663391873,998.19464781890076,2.3108072510390558
324,14908476.619364390,1000.1704741231264,2.3108072510390558
325,15300763.575336909,996.82419509389797,2.3108072510390558
326,15693050.531309428,987.37481535523136,2.3108072510390558
327,16085337.487281943,970.85865516377555,2.3108072510390558
328,16477624.443254462,946.05100282158037,2.3108072510390558
329,16869911.399226978,911.33625246814950,2.3108072510390558
330,17262198.355199497,864.47680460552522,2.3108072510390558
331,17654485.311172016,802.16092683590205,2.3108072510390558
332,18439059.223117054,604.70213808188555,2.3108072510390558
333,18831346.179089569,432.88436597497679,2.3108072510390558
334,786146.20435374288,13.089557082405403,2.3934867429633671
335,1178433.1603262606,29.214641426497437,2.3934867429633671
336,1570720.1162987782,49.479726918878228,2.3934867429633671
337,1963007.0722712961,72.686370302665821,2.3934867429633671
338,2355294.0282438137,98.184004887199663,2.3934867429633671
339,2747580.9842163310,125.60491847350707,2.3934867429633671
340,3139867.9401888489,154.70729325469085,2.3934867429633671
341,3532154.8961613667,185.30470771529590,2.3934867429633671
342,3924441.8521338841,217.23642250370293,2.3934867429633671
343,4316728.8081064010,250.35449151999049,2.3934867429633671
344,4709015.7640789198,284.51769000149028,2.3934867429633671
345,5101302.7200514376,319.58829086198602,2.3934867429633671
346,5493589.6760239555,355.43009707067586,2.3934867429633671
347,5885876.6319964742,391.90706410514287,2.3934867429633671
348,6278163.5879689921,428.88221619450906,2.3934867429633671
349,6670450.5439415099,466.21671327893222,2.3934867429633671
350,7062737.4999140287,503.76899183415190,2.3934867429633671
351,7455024.4558865465,541.39393241828884,2.3934867429633671
352,7847311.4118590644,578.94202030776489,2.3934867429633671
353,8239598.3678315822,616.25847134384878,2.3934867429633671
354,8631885.3238041010,653.18229669689890,2.3934867429633671
355,9024172.2797766197,689.54527916723544,2.3934867429633671
356,9416459.2357491367,725.17083040236037,2.3934867429633671
357,9808746.1917216554,759.87269301864876,2.3934867429633671
358,10201033.147694174,793.45344370551936,2.3934867429633671
359,10593320.103666691,825.70274224461059,2.3934867429633671
360,10985607.059639210,856.39525584473779,2.3934867429633671
361,11377894.015611727,885.28816650736087,2.3934867429633671
362,11770180.971584246,912.11813859097401,2.3934867429633671
363,12162467.927556764,936.59758014787781,2.3934867429633671
364,12554754.883529281,958.40996836171041,2.3934867429633671
365,12947041.839501800,977.20391588042321,2.3934867429633671
366,13339328.795474319,992.58551342341070,2.3934867429633671
367,13731615.751446836,1004.1082647832543,2.3934867429633671
368,14123902.707419354,1011.2595804965439,2.3934867429633671
369,14516189.663391873,1013.4422195776186,2.3934867429633671
370,14908476.619364390,1009.9480805790215,2.3934867429633671
371,15300763.575336909,999.91997373122763,2.3934867429633671
372,15693050.531309428,982.29366560851395,2.3934867429633671
373,16085337.487281943,955.70576823553733,2.3934867429633671
374,16477624.443254462,918.33842399346111,2.3934867429633671
375,17262198.355199497,799.73736249730871,2.3934867429633671
376,17654485.311172016,708.13265142997545,2.3934867429633671
377,18439059.223117054,375.28742626646630,2.3934867429633671
378,786146.20435374288,13.931374297601089,2.4761662348876783
379,1178433.1603262606,30.988039370103994,2.4761662348876783
380,1570720.1162987782,52.346979487255282,2.4761662348876783
381,1963007.0722712961,76.758862434902696,2.4761662348876783
382,2355294.0282438137,103.55499356183881,2.4761662348876783
383,2747580.9842163310,132.35682163772893,2.4761662348876783
384,3139867.9401888489,162.91214140158527,2.4761662348876783
385,3532154.8961613667,195.02362362741798,2.4761662348876783
386,3924441.8521338841,228.51920595728677,2.4761662348876783
387,4316728.8081064010,263.23933691282735,2.4761662348876783
388,4709015.7640789198,299.03094191616066,2.4761662348876783
389,5101302.7200514376,335.74417143986858,2.4761662348876783
390,5493589.6760239555,373.23037009332671,2.4761662348876783
391,5885876.6319964742,411.34061763419419,2.4761662348876783
392,6278163.5879689921,449.92455280240654,2.4761662348876783
393,6670450.5439415099,488.82933877399836,2.4761662348876783
394,7062737.4999140287,527.89869247589331,2.4761662348876783
395,7455024.4558865465,566.97192812903734,2.4761662348876783
396,7847311.4118590644,605.88297777792411,2.4761662348876783
397,8239598.3678315822,644.45935626830624,2.4761662348876783
